brand,product,product_type,ingredients,p_id,i_id,n_ingre,n_product,mp_count,mp_percent,mp_present
L'Oréal Paris,Wake Up And Glow BB Cream 03 Medium Light 1 stk,5,VP/Eicosene Copolymer,26310,753,5,1190,488,0.410084034,1
L'Oréal Paris,Magic Retouch Uitgroeispray Donkerblond 150 ml,7,VP/Dimethylaminoethylmethacrylate Copolymer,13569,751,6,6040,1970,0.32615894,1
L'Oréal Paris,Nutri Gold Night Cream Mask 50 ml,6,VP/Dimethylaminoethylmethacrylate Copolymer,16631,751,4,5751,2040,0.354720918,1
L'Oréal Paris,Pure Clay Exfoliating Gel Kuoriva Puhdistusgeeli 150 ml,6,VP/Dimethylaminoethylmethacrylate Copolymer,18458,751,4,5751,2040,0.354720918,1
L'Oréal Paris,Pure Clay Purity Face Mask 50 ml,6,VP/Dimethylaminoethylmethacrylate Copolymer,18462,751,2,5751,2040,0.354720918,1
L'Oréal Paris,Age Perfect Golden Lotion Serum 30 ml,6,VP/Dimethylaminoethylmethacrylate Copolymer,686,751,6,5751,2040,0.354720918,1
L'Oréal Paris,Skin Paradise Tinted Water Cream - 03 Fair - SPF 20,5,VP/Dimethylaminoethylmethacrylate Copolymer,21635,751,9,1190,488,0.410084034,1
L'Oréal Paris,Sonnenmilch Protect & Sublime LSF15 200ml,14,VP/Dimethylaminoethylmethacrylate Copolymer,22320,751,7,2106,763,0.362298196,1
L'Oréal Paris,Men Expert Vita Lift Feuchtigkeitspflege 50ml,6,VP/Dimethylaminoethylmethacrylate Copolymer,14420,751,6,5751,2040,0.354720918,1
L'Oréal Paris,Skin Perfection Dagcrème 50 ml,6,VP/Acrylates/Lauryl Methacrylate Copolymer,21647,750,3,5751,2040,0.354720918,1
L'Oréal Paris,Sublime Sun SPF15+ Hydrafresh 200 ml,14,VP/Acrylates/Lauryl Methacrylate Copolymer,22972,750,3,2106,763,0.362298196,1
L'Oréal Paris,Elnett Satin Laque Fixation Normale 200 ml,7,VP/Acrylates/Lauryl Methacrylate Copolymer,7362,750,3,6040,1970,0.32615894,1
L'Oréal Paris,Men Expert Thermic Resist Desodorizante Roll-On 50 ml,3,VP/Acrylates/Lauryl Methacrylate Copolymer,14415,750,3,1588,472,0.297229219,1
L'Oréal Paris,Men Expert Pure & Mat Reinigingsgel 150 ml,6,VP/Acrylates/Lauryl Methacrylate Copolymer,14384,750,3,5751,2040,0.354720918,1
L'Oréal Paris,Men Expert Hydra Energetic Gel 100 ml,6,VP/Acrylates/Lauryl Methacrylate Copolymer,14335,750,3,5751,2040,0.354720918,1
L'Oréal Paris,Stylista The Curl Tonic 200ml,7,VP/Acrylates/Lauryl Methacrylate Copolymer,22938,750,3,6040,1970,0.32615894,1
L'Oréal Paris,Studio Line Spurenlos FX Styling Spray Ultra Starker 250 ml,7,Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer,22811,749,6,6040,1970,0.32615894,1
